Metric,Value
number_features,15.0
num_edge_features,8.0
initial_dim_gcn ,15.0
edge_dim_feature,8.0
hidden_dim_nn_1 ,500.0
p1 ,0.0
hidden_dim_nn_2 ,250.0
p2 ,0.0
hidden_dim_nn_3 ,100.0
p3 ,0.0
hidden_dim_fcn_1 ,100.0
hidden_dim_fcn_2 ,50.0
hidden_dim_fcn_3 ,5.0
training_test_percentage %,50.0
batch_size,100.0
learning_rate,0.001
number_of_epochs,30.0
r2_train,0.8764588581601479
r_train,0.9530505971018054
mae_train,0.06373949905829915
rmse_train,0.07604863825648707
r2_validation,0.8757050208950651
r_validation,0.9527765783808135
mae_validation,0.06389000143965447
rmse_validation,0.07614207557247021
time_preprocessing,0.0
time_training,131.65177089770634
time_prediction,2.8414994637171427
total_time,134.525949883461
